diff(10),diff(10),diff(11),diff(11),diff(12),diff(12),diff(13),diff(13),diff(14),diff(14),diff(15),diff(15),diff(16),diff(16),diff(18),diff(18),diff(19),diff(19),diff(20),diff(20),diff(21),diff(21),diff(22),diff(22),diff(23),diff(23),diff(24),diff(24),diff(25),diff(25),diff(26),diff(26),diff(27),diff(27),diff(28),diff(28),diff(29),diff(29),diff(3),diff(3),diff(30),diff(30),diff(31),diff(31),diff(32),diff(32),diff(33),diff(33),diff(34),diff(34),diff(35),diff(35),diff(36),diff(36),diff(37),diff(37),diff(38),diff(38),diff(39),diff(39),diff(4),diff(4),diff(40),diff(40),diff(41),diff(41),diff(42),diff(42),diff(43),diff(43),diff(44),diff(44),diff(45),diff(45),diff(5),diff(5),diff(6),diff(6),diff(7),diff(7),diff(8),diff(8),diff(9),diff(9)
curved,curve,side,placement,square,sides,triangle,tip,different,closer,angle,branch,far,others,white,different,offcenter,dot,triangle,leaner,space,dot,wider,wrong,square,rectangle,rectangle,rectangle,seem,lengths,side,wrong,rest,shapes,sections,match,versus,shape,blob,different,end,edges,shape,facing,point,triangle,arent,others,direction,uprite,triangles,wider,pointing,shapes,two,shapes,ball,upright,triangles,different,dot,dot,lines,parallel,direction,different,side,backwards,spaced,last,facing,oriented,larger,spaced,shape,connected,two,two,line,circle,line,curves,shape,dent
curved,center,dot,ball,triangle,triangle,triangle,top,orientation,different,angle,different,away,small,white,dot,offcenter,center,skinnier,triangle,space,placement,side,dot,isnt,rectangle,rectangle,rectangular,match,sides,match,shape,rest,angled,wide,shape,versus,remain,blob,shape,end,uneven,shape,wrong,point,points,coming,triangles,direction,whill,orientation,triangles,pointing,aligned,two,orientation,ball,facing,triangles,shape,dot,placement,sat,lines,direction,orientation,vertical,f,spaced,dot,facing,counter,larger,apart,fully,shape,shapes,separated,line,line,straight,line,shape,center
line,line,dot,side,triangle,shape,diff,shape,orientation,angle,angle,orientation,away,black,white,orientation,dot,dot,skinnier,different,left,different,side,wrong,isnt,square,rectangle,shape,match,two,match,wrong,rest,direction,wide,symetrical,ends,rotate,blob,hole,wide,pointy,arent,facing,point,black,coming,evenly,direction,point,orientation,thicker,toward,shapes,lines,shapes,ball,right,triangles,angle,outside,different,sat,parallel,facing,isnt,vertical,backwards,spaced,separated,facing,clockwise,larger,pairs,fully,isnt,shapes,two,ball,dot,straight,straight,blob,shape
line,straight,weird,ball,variation,triangle,diff,triangle,angles,different,perpendicular,extra,away,circle,dot,different,dot,middle,skinnier,shape,left,dot,dot,dot,square,rectangle,rectangle,diagonal,match,different,length,shape,facing,triangles,sections,shape,ends,shape,blob,middle,wide,tips,arent,wrong,point,circle,coming,shaped,points,one,orientation,others,toward,aligned,lines,orientation,right,upright,different,small,outside,dot,straight,lines,facing,facing,line,f,spaced,3,adn,oriented,spacing,dots,fully,connected,two,two,ball,line,line,line,blob,symetrical
curved,line,weird,side,variation,shape,diff,tip,angles,angle,perpendicular,line,away,line,dot,dot,dot,line,skinnier,others,left,placement,dot,longer,square,square,rectangle,lines,match,lengths,length,wrong,facing,exact,sections,symetrical,ends,remain,hole,gap,wide,match,orientated,facing,triangle,point,coming,others,points,symbol,triangles,triangles,pointing,small,parellel,shapes,right,facing,different,triangle,outside,placement,straight,parallel,facing,right,line,backwards,spaced,dots,adn,counter,spacing,spaced,enclosed,shape,two,different,line,dot,line,straight,different,shape
curved,straight,angle,ball,square,triangle,diff,top,different,different,perpendicular,diagonal,away,others,dot,orientation,offcenter,dot,skinnier,longer,side,different,dot,side,square,rectangle,rectangle,shape,2,square,2,unequal,facing,reflection,wide,uneven,wide,lines,hole,middle,wide,tips,orientated,wrong,triangle,one,together,triangles,points,uprite,triangles,thicker,pointing,triangle,parellel,orientation,right,right,length,small,shape,different,angle,lines,different,isnt,horizontal,2,dots,dots,adn,clockwise,spacing,apart,enclosed,isnt,two,shapes,line,line,straight,straight,different,symetrical
line,curved,angle,side,square,shape,shape,shape,different,angle,perpendicular,line,dot,dot,center,different,offcenter,middle,skinnier,sides,side,dot,wider,dot,square,shape,rectangle,straight,2,rectangle,2,sides,different,triangles,wide,stack,wide,symmetry,hole,shape,wide,different,way,facing,triangle,triangle,together,evenly,points,whill,triangles,others,pointing,mirror,two,lines,side,upright,length,triangle,shape,dot,angle,parallel,different,facing,horizontal,lines,dots,spacing,right,oriented,spacing,pairs,enclosed,connected,shapes,two,ball,dot,straight,curved,shape,shape
line,straight,dot,dot,triangle,shape,shape,triangle,different,angels,perpendicular,isnt,dot,high,center,dot,offcenter,line,triangle,triangle,side,placement,wider,longer,square,rectangle,rectangle,sides,sides,square,side,unequal,different,exact,sections,uneven,middle,lines,blob,gap,wide,size,way,wrong,triangle,points,together,shaped,points,point,orientation,angle,pointing,image,two,arent,side,facing,different,size,shape,placement,lines,different,different,right,horizontal,left,evenly,dots,right,counter,dots,dots,shape,shape,shapes,different,ball,line,line,straight,shape,symetrical
curved,curved,dot,side,triangle,3,shape,tip,different,right,perpendicular,straight,far,dot,center,orientation,dot,different,triangle,different,dot,different,wider,side,square,rectangle,rectangle,stretched,sides,rectangle,side,sides,different,reflection,sections,stack,middle,symmetry,blob,middle,wide,top,shape,second,triangle,black,together,others,direction,figures,orientation,different,pointing,flipped,two,parallel,side,right,different,bigger,dot,different,lines,orientation,direction,isnt,lines,2,evenly,spacing,right,clockwise,dots,spaced,shape,closed,shapes,shapes,line,dot,line,curved,blob,curved
curved,straight,dot,line,triangle,sides,shape,top,different,angels,perpendicular,like,far,high,white,hole,dot,dot,triangle,shape,dot,dot,side,dot,square,square,rectangle,shape,length,square,match,unequal,direction,triangles,symatrical,lines,versus,lines,blob,shape,wide,biggersmaller,shape,shape,triangle,circle,top,shapes,direction,dotted,triangles,angle,pointing,compared,lines,lines,ball,point,different,comparison,dot,shape,sat,different,direction,facing,lines,lines,spaced,dots,facing,two,dots,apart,fully,shape,two,2,line,line,line,straight,blob,shape
curved,line,weird,dot,variation,shape,triangle,different,orientation,angels,perpendicular,others,away,dot,white,isnt,dot,placement,triangle,others,dot,placement,side,longer,rectangle,shape,right,shape,length,rectangle,match,sides,direction,exact,symatrical,symmetry,versus,symmetry,hole,hole,wide,bottom,shape,reversed,dot,point,top,pointing,direction,line,triangles,different,pointing,big,lines,arent,ball,facing,length,size,dot,ball,sat,orientation,direction,right,lines,left,spaced,spacing,facing,small,dots,pairs,fully,closed,two,shapes,ball,different,line,line,different,curved
curved,curved,weird,side,variation,3,triangle,angle,orientation,right,angle,extra,away,high,white,centered,offcenter,different,triangle,longer,line,position,side,side,rectangle,rectangle,right,quadrilateral,seem,square,length,unequal,direction,reflection,symatrical,one,ends,lines,hole,figure,end,pointy,arent,second,dot,one,points,shapes,points,figures,orientation,different,pointing,triangle,lines,parallel,ball,clockwise,length,bigger,dot,outside,straight,different,facing,top,left,2,dots,different,facing,lines,larger,even,enclosed,shape,shapes,2,ball,dot,straight,straight,different,shape
curved,instead,weird,line,variation,sides,diff,different,orientation,angels,angle,line,dot,dot,dot,hole,offcenter,dot,triangle,sides,line,dot,dot,different,rectangle,rectangle,right,rectangle,seem,rectangle,length,sides,rest,triangles,symatrical,jagged,ends,symmetry,blob,hole,end,tips,arent,shape,dot,triangle,points,pointing,points,dotted,orientation,direction,toward,small,parellel,lines,right,point,length,comparison,dot,shape,straight,orientation,facing,pointing,left,lines,dots,dot,facing,point,larger,amount,enclosed,closed,shapes,shapes,ball,orientation,straight,line,shape,curved
curved,straight,angle,dot,square,shape,diff,angle,different,perpendicular,angle,diagonal,dot,far,dot,isnt,offcenter,placement,skinnier,shape,line,extreme,dot,orientation,rectangle,square,angles,shape,match,square,2,different,rest,exact,symatrical,part,wide,peaks,blob,figure,end,match,arent,reversed,dot,points,arent,shapes,points,line,triangles,different,toward,triangle,parellel,arent,right,facing,different,two,outside,different,angle,different,facing,left,left,left,dots,placement,facing,downward,larger,dots,shape,open,two,double,line,different,line,line,shape,shape
line,line,angle,side,square,3,shape,different,orientation,perpendicular,angle,line,dot,line,dot,centered,dot,dot,skinnier,narrow,longest,position,wider,different,shape,rectangle,angles,quadrilateral,match,rectangle,2,shape,rest,reflection,symatrical,larger,wide,jagged,hole,shape,end,tips,orientated,second,dot,black,arent,pointing,direction,two,triangles,direction,toward,mirror,parellel,parallel,right,clockwise,different,shapes,outside,shape,angle,orientation,different,top,side,2,evenly,different,facing,lower,larger,big,shape,space,two,single,line,dot,line,straight,shape,one
line,curved,angle,line,square,sides,shape,angle,different,two,angle,isnt,far,dot,center,hole,dot,lower,triangle,shape,longest,dot,wider,orientation,shape,square,angles,rectangle,2,diagonal,2,orientation,facing,shapes,symatrical,others,middle,peaks,hole,cutout,end,different,orientated,shape,dot,circle,coming,shapes,direction,triangles,uhm,wider,toward,image,two,lines,side,point,different,pointing,outside,ball,lines,lines,different,pointing,side,lines,evenly,dot,facing,right,larger,space,shape,incomplete,shapes,double,line,orientation,line,instead,shape,seems
line,instead,dot,point,triangle,different,triangle,different,different,lines,angle,straight,far,far,center,isnt,dot,line,triangle,narrow,longest,extreme,side,different,rectangle,rectangle,right,lines,2,rectangular,side,different,facing,parralel,symatrical,crinkles,middle,jagged,hole,hole,end,size,orientated,reversed,point,tow,coming,pointing,direction,mirror,uhm,triangles,toward,flipped,two,parallel,side,facing,different,side,outside,outside,lines,parallel,different,left,side,left,evenly,placement,adn,two,spacing,even,fully,open,shapes,single,ball,dot,line,curved,shape,incomplete
line,straight,dot,aligned,triangle,shape,triangle,angle,different,intersect,angle,like,far,line,center,centered,near,dot,sides,equilateral,line,longer,side,orientation,rectangle,square,right,slatned,2,shape,side,shape,different,shapes,symatrical,irratic,versus,peaks,hole,inside,end,top,way,second,point,triangles,together,shapes,direction,image,nothing,wider,toward,compared,lines,lines,side,clockwise,length,two,outside,shape,sat,lines,direction,top,vertical,2,spaced,different,adn,small,spacing,amount,fully,space,2,two,ball,isnt,straight,line,cut,one
curved,curved,dot,end,variation,different,diff,different,different,right,angle,others,away,dot,white,dot,near,lower,sides,triangle,line,line,dot,hole,,,angles,lines,sides,diagonal,side,orientation,different,parralel,symatrical,shape,versus,jagged,blob,shape,end,biggersmaller,way,shape,point,facing,together,pointing,direction,flipped,nothing,triangles,toward,big,lines,parallel,ball,line,length,shapes,blob,different,sat,parallel,direction,pointing,vertical,lines,spaced,dot,adn,lines,spacing,dots,fully,incomplete,2,figures,ball,line,straight,straight,cut,seems
line,curved,dot,line,variation,shape,diff,angle,different,angles,perpendicular,small,away,far,white,center,near,line,even,equilateral,longest,longer,dot,closer,,,angles,slatned,sides,rectangular,match,different,direction,shapes,symatrical,symmetrical,ends,peaks,blob,cutout,end,bottom,way,reversed,point,directions,top,different,points,two,uhm,second,toward,triangle,parellel,lines,ball,left,length,pointing,blob,shape,straight,lines,direction,left,vertical,left,spaced,placement,adn,point,spacing,big,enclosed,open,shapes,two,line,dot,straight,instead,cut,incomplete
curved,line,weird,point,square,different,shape,different,orientation,two,perpendicular,line,away,line,dot,dot,end,dot,even,triangle,longest,line,dot,long,,,right,rhombus,sides,shape,match,shape,direction,parralel,symatrical,different,ends,jagged,blob,hole,wide,shape,shape,different,triangle,tow,top,direction,points,triangles,uhm,shape,pointing,angle,parellel,parallel,ball,circle,length,side,blob,ball,straight,parallel,facing,black,line,2,spacing,space,adn,downward,spacing,space,enclosed,space,shapes,figures,line,isnt,straight,curved,curved,one
curved,curved,weird,aligned,square,shape,shape,angle,orientation,lines,perpendicular,perpendicular,dot,different,dot,center,end,lower,sides,triangle,line,dot,dot,side,,,right,rectangle,length,diagonal,match,orientation,rest,shapes,symatrical,orientation,wide,crinkles,blob,inside,wide,ends,shape,orientation,triangle,triangles,points,different,points,mirror,uhm,seems,pointing,wrong,two,lines,ball,straight,different,aligned,blob,outside,angle,lines,facing,circle,line,lines,spacing,one,adn,lower,dots,even,enclosed,incomplete,2,two,line,line,line,line,curved,seems
line,line,weird,end,quadrilateral,shape,flatter,longer,orientation,intersect,angle,small,dot,dot,center,dot,end,line,sides,pointed,line,closer,wider,hole,,,angles,rhombus,length,rectangular,length,different,rest,parralel,symatrical,cant,wide,irratic,hole,hole,end,shape,arent,different,triangle,facing,points,direction,points,image,uhm,little,toward,angle,two,angle,right,line,length,aligned,blob,shape,angle,parallel,facing,facing,line,left,spacing,dots,adn,right,dots,amount,closed,shape,2,shapes,ball,dot,line,straight,curved,incomplete
line,curved,weird,line,quadrilateral,three,flatter,base,orientation,right,angle,line,dot,orientation,center,center,dot,point,sides,others,line,edge,wider,closer,,,angles,rectangle,length,shape,length,shape,facing,different,symatrical,evenly,middle,crinkles,blob,hole,end,ends,arent,orientation,triangle,directions,arent,different,points,flipped,uhm,big,toward,wrong,two,two,right,left,different,small,dot,dot,lines,lines,facing,left,horizontal,facing,symmetric,space,right,two,dots,dots,closed,closed,2,instead,ball,attached,straight,line,shape,one
curved,curved,angle,point,quadrilateral,sides,triangle,longer,orientation,angles,angle,perpendicular,far,different,white,white,dot,middle,even,triangle,longest,dot,wider,long,,,right,diamond,seem,diagonal,length,orientation,facing,size,symatrical,split,middle,irratic,hole,hole,wide,opposite,orientated,different,dot,tow,arent,direction,direction,triangles,uhm,smaller,pointing,mismatched,two,ends,right,circle,different,triangle,dot,outside,lines,parallel,facing,side,horizontal,opposite,symmetric,one,right,small,dots,big,closed,line,2,one,line,dot,straight,straight,shape,seems
curved,line,angle,aligned,quadrilateral,instead,triangle,base,different,x,perpendicular,curved,far,dot,white,dot,dot,line,even,pointed,longest,closer,wider,side,,,right,rectangle,seem,rectangular,2,four,different,different,symatrical,vertically,versus,crinkles,hole,shape,wide,facing,orientated,orientation,dot,triangles,coming,different,direction,facing,nothing,second,pointing,shape,two,facing,right,straight,different,much,dot,image,sat,lines,facing,instead,horizontal,direction,symmetric,dots,right,lines,dots,space,closed,connected,shapes,two,line,attached,line,line,shape,incomplete
curved,straight,angle,end,quadrilateral,four,flatter,right,different,slanted,perpendicular,line,far,orientation,white,center,near,point,even,others,longest,edge,side,hole,,,angles,diamond,seem,shape,2,sides,different,size,symatrical,jutting,versus,irratic,blob,hole,wide,parts,way,different,dot,facing,coming,direction,direction,wrong,nothing,shape,pointing,orientations,lines,lines,side,line,different,smaller,outside,dot,sat,parallel,facing,right,lines,facing,spacing,highest,right,point,larger,two,closed,way,shapes,shapes,ball,dot,line,straight,shape,concave
line,curved,angle,line,quadrilateral,shape,flatter,triangle,orientation,x,angle,curved,away,different,white,circle,near,middle,sides,long,line,point,side,closer,,,angles,rectangle,match,diagonal,side,four,direction,different,symatrical,sides,ends,crinkles,blob,shape,end,opposite,way,orientation,dot,directions,together,different,points,triangles,nothing,seems,toward,mismatched,lines,angle,side,left,different,big,outside,outside,straight,lines,facing,side,lines,opposite,spacing,dot,right,downward,larger,points,closed,line,shapes,instead,ball,isnt,straight,line,shape,side
line,line,dot,small,quadrilateral,wrong,triangle,right,orientation,slanted,angle,line,away,dot,dot,white,near,line,sides,skinny,line,far,side,long,,,right,doesnt,match,rectangular,side,sides,direction,size,symatrical,unequal,ends,irratic,hole,shape,end,facing,shape,shapes,point,shapes,together,direction,points,facing,nothing,little,toward,shape,lines,two,side,circle,different,triangle,outside,image,straight,parallel,different,black,lines,direction,spacing,little,right,lower,larger,separated,closed,solid,shapes,one,ball,line,straight,straight,cut,concave
line,straight,dot,black,quadrilateral,quadrilateral,triangle,triangle,different,crossed,smaller,two,away,orientation,dot,dot,end,point,even,long,line,left,side,side,,,right,90,match,shape,match,four,rest,different,symatrical,pointy,wide,shape,hole,contain,end,parts,shape,facing,point,reversed,direction,pointed,points,wrong,nothing,big,toward,orientations,lines,ends,side,straight,different,compared,blob,dot,angle,lines,different,circle,left,facing,spacing,farther,right,right,larger,line,closed,open,2,two,ball,next,line,straight,cut,side
curved,straight,dot,circle,quadrilateral,triangle,flatter,triangle,different,different,smaller,lines,dot,dot,dot,center,end,middle,even,skinny,longest,point,dot,sides,,,right,degree,2,sides,match,sides,rest,size,symatrical,sides,wide,symmetrical,hole,hole,symatrical,figure,shape,opposite,triangle,shapes,direction,angle,direction,different,nothing,smaller,pointing,shape,lines,facing,ball,upside,different,others,blob,outside,angle,parallel,different,facing,left,opposite,spacing,rest,facing,lines,spacing,two,closed,shape,2,shapes,line,dot,line,line,curved,concave
curved,line,dot,line,quadrilateral,four,flatter,right,different,angle,smaller,form,dot,line,dot,circle,end,line,sides,equilateral,longest,far,dot,inequal,,,right,angles,2,different,length,four,general,wider,symatrical,dont,middle,shape,blob,shape,symatrical,line,shape,directions,triangle,reversed,triangles,pointed,direction,orientation,uhm,reflection,pointing,orientation,parellel,lines,right,upside,length,small,blob,image,lines,evenly,different,left,left,direction,symmetric,highest,facing,wrong,spacing,points,closed,closed,shapes,two,line,isnt,line,curved,curved,side
line,straight,dot,line,quadrilateral,sides,flatter,triangle,orientation,crossed,smaller,right,far,dot,center,white,dot,black,sides,triangle,longest,left,wider,sides,,,angles,doesnt,2,size,length,sides,general,shape,symatrical,match,middle,symmetrical,blob,contain,symatrical,symmetry,arent,shapes,dot,shapes,triangles,angle,direction,one,nothing,reflection,toward,shape,parellel,angle,side,upside,length,triangle,dot,point,lines,spaced,different,side,side,facing,symmetric,dot,facing,angle,spacing,separated,closed,gap,shapes,shapes,line,line,straight,straight,shape,concave
line,line,weird,small,quadrilateral,isnt,triangle,triangle,orientation,different,smaller,angle,far,line,center,dot,dot,dot,even,equilateral,line,black,wider,inequal,,,angles,90,sides,sides,2,distorted,shape,wider,symatrical,shape,versus,shape,blob,hole,symatrical,shape,arent,facing,dot,reversed,pointing,pointed,direction,shape,uhm,triangles,toward,orientation,parellel,two,ball,dot,length,much,dot,figure,lines,apart,different,instead,side,opposite,symmetric,little,adn,lines,spacing,line,closed,line,2,two,line,next,straight,line,shape,side
curved,line,weird,black,quadrilateral,foursided,triangle,right,orientation,angle,line,two,away,dot,center,center,dot,left,even,triangle,line,circle,side,sides,,,angles,degree,sides,different,2,angles,shape,shape,symatrical,symetrical,versus,symmetrical,hole,hole,symatrical,tilted,arent,opposite,point,different,pointing,angle,points,different,uhm,oriented,pointing,shapes,parellel,ends,ball,right,length,smaller,outside,point,sat,evenly,different,right,side,direction,symmetric,farther,adn,wrong,dots,two,closed,line,2,shapes,ball,dot,straight,curved,shape,shaped
curved,curved,weird,circle,quadrilateral,3,triangle,triangle,different,flatter,line,lines,away,line,center,circle,dot,hand,sides,tall,line,left,side,inequal,,,angles,angles,sides,size,side,distorted,triangles,wider,symatrical,uneven,ends,shape,hole,middle,symatrical,right,arent,directions,point,orientation,direction,shapes,points,orientation,uhm,instead,pointing,arent,parellel,facing,right,dot,length,big,outside,figure,sat,spaced,different,side,vertical,facing,symmetric,rest,adn,angle,dots,points,closed,connected,shapes,two,ball,touching,line,line,shape,like
curved,straight,weird,line,quadrilateral,sides,flatter,triangle,different,cross,line,form,dot,objects,white,dot,dot,side,sides,triangle,line,line,dot,shape,,,right,rectangle,length,sides,side,angles,triangles,shape,symatrical,stack,ends,symmetrical,blob,hole,symatrical,angle,orientated,shapes,triangle,different,direction,werent,points,one,uhm,mirrored,pointing,facing,two,angles,right,right,length,triangle,blob,point,sat,apart,direction,black,vertical,opposite,spacing,dots,right,lines,dots,separated,closed,shape,shapes,shapes,ball,line,line,isnt,shape,moon
line,line,weird,line,quadrilateral,triangle,flatter,almost,different,plus,line,right,dot,spaced,white,middle,dot,line,sides,short,line,others,dot,bigger,,,angles,rectangle,length,different,match,distorted,general,sides,lines,one,wide,shape,blob,middle,symatrical,crinkles,orientated,facing,triangle,orientation,direction,flipped,points,shape,nothing,triangles,pointing,direction,lines,angles,side,dot,length,compared,blob,figure,straight,evenly,direction,circle,vertical,direction,spacing,spaced,right,wrong,dots,line,closed,isnt,2,two,line,dot,line,curved,shape,circletriange
line,curved,angle,small,quadrilateral,shape,flatter,flat,orientation,flatter,line,angle,dot,apart,white,cirlce,near,black,even,tall,longest,black,dot,others,,,right,rectangular,length,size,match,angles,general,equally,lines,jagged,wide,orientation,hole,hole,symatrical,pattern,orientated,opposite,dot,different,direction,side,direction,different,nothing,oriented,toward,shapes,parellel,angles,side,right,length,others,dot,black,straight,spaced,direction,facing,line,facing,symmetric,dots,right,angle,larger,dots,closed,connected,2,shapes,line,touching,straight,line,cut,shaped
line,straight,angle,black,quadrilateral,shape,triangle,triangle,orientation,cross,slanted,two,far,objects,dot,dot,near,dot,even,triangle,longest,circle,wider,shape,,,right,shape,seem,sides,length,distorted,general,long,lines,part,middle,shape,hole,center,symatrical,shape,orientated,directions,dot,orientation,direction,line,direction,orientation,nothing,instead,toward,arent,two,parallel,ball,different,different,triangle,dot,circle,straight,apart,direction,left,line,opposite,symmetric,spaced,facing,lines,larger,clustered,closed,shape,2,one,line,line,straight,isnt,cut,like
curved,line,angle,circle,quadrilateral,3,triangle,almost,orientation,plus,slanted,lines,far,spaced,dot,middle,near,left,even,short,longest,left,wider,bigger,,,right,diagonal,seem,different,length,angles,shape,sides,lines,larger,middle,orientation,blob,hole,symatrical,asymmetrical,way,shapes,point,triangles,triangles,shapes,points,different,nothing,mirrored,toward,facing,lines,parallel,ball,orientation,different,really,dot,outside,angle,evenly,direction,side,line,direction,spacing,small,facing,point,larger,two,closed,closed,shapes,two,ball,unattached,straight,curved,cut,moon
curved,slight,angle,line,quadrilateral,sides,triangle,flat,different,doesnt,slanted,form,far,apart,dot,cirlce,near,hand,sides,one,longest,line,wider,others,,,right,lines,seem,size,2,shape,shape,equally,lines,others,versus,shape,blob,center,symatrical,different,way,facing,point,face,triangles,werent,points,orientation,uhm,facing,toward,direction,parellel,parallel,right,different,different,large,dot,shape,angle,spaced,direction,instead,two,points,spacing,circles,facing,right,larger,close,closed,open,shapes,shapes,ball,dot,line,line,cut,circletriange
curved,curve,angle,line,quadrilateral,different,flatter,right,different,90,slanted,right,away,objects,center,dot,near,side,sides,length,longest,others,side,shape,,,angles,rectangular,match,sides,2,isnt,shape,long,symmetry,one,versus,orientation,hole,empty,symatrical,shape,way,opposite,point,direction,triangles,flipped,direction,shapes,uhm,direction,pointing,points,potentially,two,right,orientation,different,one,dot,instead,angle,apart,direction,right,two,facing,spacing,perfectly,adn,lines,larger,sets,closed,space,shapes,one,line,unattached,line,straight,curved,shaped
curved,center,dot,dot,quadrilateral,shape,flatter,angle,different,degree,slanted,angle,away,spaced,center,middle,near,line,even,one,line,dot,side,bigger,,,angles,shape,match,different,2,rectangular,triangles,sides,symmetry,jagged,ends,shape,hole,shape,symatrical,orientation,way,directions,triangle,triangles,triangles,side,direction,facing,nothing,facing,pointing,facing,potentially,lines,side,different,different,really,dot,inside,lines,lines,direction,side,two,wrong,spacing,spaced,adn,point,larger,two,closed,incomplete,2,one,line,dot,line,curved,curved,like
line,line,dot,line,shape,shape,triangle,right,different,angle,smaller,perpendicular,away,apart,center,cirlce,end,black,even,length,line,side,side,others,,,angles,diagonal,match,size,2,shaped,triangles,equally,symmetry,part,ends,orientation,hole,center,symatrical,halves,shape,points,triangle,face,triangles,line,direction,different,nothing,direction,toward,points,potentially,parallel,side,orientation,different,small,outside,black,lines,parallel,facing,circle,two,way,symmetric,small,adn,right,larger,instead,shape,line,2,shape,dot,point,straight,line,curved,moon
line,slight,weird,dot,shape,wrong,triangle,angle,orientation,doesnt,line,perpendicular,dot,dot,white,different,end,dot,sides,shape,line,line,dot,dot,,,angles,lines,2,different,side,shape,triangles,long,symmetry,larger,wide,cant,blob,empty,symatrical,arent,shape,facing,triangle,direction,pointing,shapes,direction,directions,uhm,shapes,toward,facing,potentially,diverging,ball,isnt,length,triangle,outside,circle,sat,lines,facing,left,lines,points,symmetric,circles,right,lines,larger,random,shape,connected,shapes,one,dot,line,straight,straight,curved,circletriange
line,curve,weird,line,three,shape,flatter,flat,orientation,90,slanted,perpendicular,dot,spaced,white,dot,end,left,sides,leaner,longest,dot,dot,closest,,,right,shape,2,shape,side,isnt,general,display,symmetry,others,wide,evenly,blob,shape,symatrical,identical,arent,points,dot,triangles,pointing,werent,points,shapes,uhm,mirrored,pointing,tips,intersecting,two,ball,facing,length,really,outside,outside,sat,parallel,facing,line,lines,facing,symmetric,perfectly,right,point,spacing,dots,shape,way,shapes,shape,line,point,straight,curved,shape,shaped
line,center,angle,dot,three,wrong,flatter,triangle,orientation,degree,smaller,smaller,dot,compared,white,placement,end,hand,even,shape,longest,side,dot,left,,,right,straight,sides,different,side,rectangular,general,reflection,lines,crinkles,wide,split,blob,center,symatrical,split,arent,facing,dot,face,pointing,flipped,points,facing,nothing,shapes,pointing,triangle,intersecting,lines,ball,left,length,large,outside,shape,straight,lines,different,circle,lines,wrong,symmetric,spaced,right,right,spacing,clustered,closed,line,2,separated,line,line,line,straight,shape,like
curved,line,angle,line,sides,shape,flatter,tall,orientation,angle,smaller,line,dot,dotline,dot,different,end,side,even,leaner,longest,line,dot,side,,,right,sides,sides,shape,side,shaped,shape,display,lines,irratic,wide,horizontally,hole,hole,symatrical,horizontally,orientated,points,dot,direction,pointing,side,points,different,nothing,mirrored,pointing,pointing,intersecting,parallel,right,isnt,length,one,outside,instead,straight,parallel,different,left,lines,way,spacing,space,facing,different,spacing,two,closed,connected,2,two,dot,small,line,line,shape,moon
curved,straight,dot,dot,sides,wrong,triangle,flat,different,crosses,smaller,meet,dot,pair,dot,dot,end,line,sides,triangle,line,dot,wider,dot,,,angles,shape,length,different,match,shape,shape,reflection,symmetry,crinkles,middle,cant,hole,middle,symatrical,jagged,orientated,facing,point,shapes,pointing,line,points,directions,uhm,different,toward,tips,intersecting,diverging,right,facing,length,really,outside,inside,angle,lines,different,line,different,points,spacing,two,facing,orientation,spacing,close,closed,way,shapes,separated,dot,black,line,without,shape,circletriange
line,line,dot,lined,instead,shape,triangle,triangle,different,like,smaller,large,far,dot,dot,placement,dot,dot,sides,different,line,farther,wider,closest,,,angles,straight,length,shape,match,isnt,triangles,display,symmetry,irratic,middle,evenly,hole,shape,symatrical,edges,way,points,point,pointing,direction,relfection,direction,shapes,uhm,orientation,toward,triangle,potentially,lines,right,left,length,small,blob,black,angle,parallel,direction,circle,different,facing,spacing,dots,adn,different,spacing,sets,shape,line,shapes,two,dot,circle,line,curves,shape,curved
line,straight,weird,dot,instead,wrong,triangle,tall,different,x,smaller,line,far,spaced,center,different,dot,centered,sides,shape,line,left,wider,left,,,angles,sides,seem,different,match,rectangular,triangles,reflection,lines,shape,middle,split,blob,hole,symatrical,uneven,way,facing,point,direction,triangles,relfection,direction,facing,nothing,different,toward,pointing,potentially,pointing,side,isnt,different,small,blob,circle,lines,parallel,direction,left,different,wrong,symmetric,space,adn,orientation,spacing,two,shape,solid,2,two,dot,line,straight,straight,shape,inside
curved,curved,weird,lined,four,shape,flatter,doesnt,orientation,crosses,smaller,right,far,compared,center,dot,near,dot,sides,others,longest,dot,wider,side,,,right,stretched,seem,shape,match,shaped,general,triangle,lines,symmetrical,middle,horizontally,blob,middle,symatrical,pointy,shape,pointy,triangle,shapes,pointing,relfection,direction,opposite,nothing,orientation,pointing,large,potentially,opposite,side,facing,different,shape,blob,outside,lines,lines,direction,line,different,way,symmetric,two,right,different,spacing,instead,closed,line,2,different,line,small,straight,line,cut,curved
curved,straight,angle,dot,four,wrong,flatter,90,orientation,like,smaller,angle,far,dotline,center,placement,near,centered,sides,longer,longest,farther,side,dot,,,right,shape,match,different,length,shape,general,mirror,symmetry,shape,versus,cant,blob,shape,symatrical,tips,shape,tips,triangle,pointing,direction,triangles,direction,direction,uhm,shapes,pointing,difference,intersecting,lines,side,left,different,top,blob,shape,sat,parallel,facing,opposite,side,points,symmetric,dots,right,orientation,spacing,random,closed,solid,2,shapes,line,black,straight,without,cut,inside
